aachen;akwizgran,
entsetzen;przeraziæ,wprawiæ w os³upienie,przeraziæ siê,os³upieæ,zaniemówiæ
entsorgen;usuwaæ (odpady)
entsprechend;zgodnie z,adekwatnie do,odpowiedni,pasuj¹cy,adekwatny
enttarnen;zdemaskowaæ,demaskowaæ
enttäuschen;rozczarowywaæ,zawodziæ
entwarnung;odwo³anie alarmu
entwicklungsabteilung;dzia³ rozwojowo-badawczy
entwurf;zarys,szkic,plan,model,koncept
epilog;epilog
episode;epizod
epoche;epoka
er;on
erbarmen;politowanie
erbe;spadkobierca,spadek,dziedzictwo,spuœcizna
erben;otrzymywaæ w spadku,dziedziczyæ
erbium;erb (pierwiastek chemiczny)
erbleichen;bledn¹æ
erblich;dziedziczny
erbost;z³y,rozz³oszczony
erbschaft;spuœcizna
erbschaftssteuer;podatek spadkowy
erbse;groch
erdapfel;ziemniak
erdbeere;truskawka
erde;ziemia,grunt
erdgas;gaz ziemny
erdgeschoss;parter
erdkugel;kula ziemska
erdkunde;geografia
erdnuß;orech ziemny
erdnuss;orzech ziemny
erdöl;ropa naftowa
erfahrung;doœwiadczenie
erfinden;wynajdywaæ
erfindung;wynalazek,k³amstwo,bujda,niestworzone rzeczy
erfolg;sukces
erfolgreich;zakoñczony powodzeniem,uwieñczony sukcesem,pomyœlny,zwyciêski,udany,skuteczny
ergänzen;dope³niaæ,uzupe³niaæ
ergebnis;skutek,wynik
erholt;wypoczêty
erholung;wypoczynek
erkältung;przeziêbienie
erklären;wyjaœniaæ,t³umaczyæ,deklarowaæ,oznajmiaæ,proklamowaæ,og³osiæ,obwo³aæ,uznaæ,wyjaœniaæ siê,zadeklarowaæ siê
erklärung;objaœnienie,wyjaœnienie,t³umaczenie
erlaß;dekret
erläutern;objaœniæ,wy³uszczyæ,wy³o¿yæ
erlebnis;prze¿ycie
erlesen;wyszukany,wykwintny
erlogen;zmyœlony
erlöschen;gasn¹æ
erlösung;zbawienie,wybawienie
ermorden;zamordowaæ
ernst nehmen;braæ na powa¿nie,traktowaæ powa¿nie
ernte;¿niwo,plon
erobern;podbijaæ,opanowaæ
erpressung;szanta¿,wymuszenie
erreichen;dosiêgn¹æ,schwyciæ,uj¹æ,dotrzeæ do celu,dojechaæ,dojœæ,spe³niæ,dotrzeæ do,osi¹gn¹æ (cel,standard...),skontaktowaæ siê,nawi¹zaæ kontakt
erschöpfung;wyczerpanie
erschrecken;przestraszyæ,przeraziæ
ersehen;wnioskowaæ,widzieæ
ersichtlich;oczywisty,widoczny
erstarrung;krzepniêcie,odrêtwienie
erste;pierwszy
erstehen;nabywaæ
erstellen;tworzyæ
erstmals;po raz pierwszy
eruption;wybuch,erupcja
erwarten;oczekiwaæ,spodziewaæ siê
erwerbung;nabycie,kupno
erwünscht;po¿¹dany
erzählen;opowiadaæ
erzbischof;arcybiskup
erzfeind;zaciêty wróg
erziehung;wychowanie
es;jesion
esel;osio³ (zwierzê),osio³ (g³upi cz³owiek)
eselsohr;oœle ucho,zagiêty róg ksi¹¿ki
essen;jeœæ,jadaæ,jedzenie (potrawa),jedzenie,essen (miasto),posi³ek,strawa
essig;ocet
essigsäure;kwas octowy
esszimmer;jadalnia
este;estoñczyk
estin;estonka
ettich;rzodkiewka
etui;futera³,etui
etwaig;ewentualny,mo¿liwy
etwas bei der bank;zdeponowaæ coœ w banku
etwas in kauf nehmen;akceptowaæ coœ,uwzglêdniæ
etwas verdienen;zas³ugiwaæ na
etwas;co,coœ,nieco,trochê,doœæ,ma³o,niewiele
euer;wasz
euklid;euklides
eule;sowa
europa;europa
europäisch;europejski
europäische genossenschaft;spó³dzielnia europejska
europäische gesellschaft;spó³ka europejska
europäische union;unia europejska
europäische wirtschaftliche interessenvereinigung;europejskie zgrupowanie interesów gospodarczych
europaische;europejski
europium;europ (pierwiastek chemiczny)
euter;wymiê
evtl.;ewentualnie,ew.
ewigkeit;wiecznoœæ
examen;egzamin
exil;wygnanie
existenzquantor;kwantyfikator szczegó³owy
exklusiv;ekskluzywny,wy³¹czny
exotisch;egzotyczny
expedition;ekspedycja
experimentieren;eksperymentowanie,eksperymentowaæ
experte;ekspert
export;eksport
expression;ekspresja
extravagant;ekstrawagancki
fabel;bajka,baœñ,fabu³a
fabelhaft;bajeczny,fantastyczny
fabrik;fabryka,wytwórnia
fabrikmarke;marka fabryczna
fachhochschule;politechnika,wy¿sza szko³a techniczna
fackel;pochodnia,³uczywo
fade;blakn¹æ,cichn¹æ,ucichaæ,gasn¹æ,wiêdn¹æ,stopniowo znikaæ,wyblak³y,nudny
faden;nitka
fadenwurm;nicieñ
fahhrad;rower
fahne;flaga,sztandar,sztandar,odór alkoholu
fahren;jechaæ,o statku p³ywaæ,p³yn¹æ,prowadziæ,woziæ
fahrer;kierowca
fahrkarte;bilet
fahrrad;rower
fahrstuhl;winda
fährte;œlad,trop
faktisch;faktyczny
faktor;czynnik,czynnik,faktor
faktur;faktura,rachunek
falke;sokó³
fall;wypadek,przypadek,upadek
fallen;spadaæ,spaœæ,upadaæ,padaæ
falls;wodospad
fallschirm;spadochron
falsch;fa³szywy,lipny,nieprawid³owy,b³êdny
falter;motyl
familie;rodzina
fan;fan
fangen;³apaæ
fangspiel;zabawa w berka
farbe;kolor,farba
fasan;ba¿ant
faseln;pleœæ brednie,pleœæ trzy po trzy
fass;beczka
fast food;fast food
fast;post,cuma,poœciæ,zablokowaæ,zablokowaæ siê,utkn¹æ,szybki (o rzeczach),przymocowany,zablokowany,odporny,trwa³y (o kolorze),szybko
fastfood;fast food
faul;faul
faulenzer;leñ,leniuch
faulheit;lenistwo,nieróbstwo,rozleniwienie
faulpelz;leñ,leniuch
faulschlamm;osad przefermentowany,namu³ organiczny,sapropel
faulschlammkohle;wêgiel sapropelowy
fauna;fauna
faust;piêœæ
fausthandschuh;rêkawica z jednym palcem
faustkeil;piêœciak
fäustling;rêkawica z jednym palcem
februar;luty
fechten;biæ siê
fehler;b³¹d,usterka,awaria
feig;kura
feige;figa (owoc),drzewo figowe,figa,kobiece zewnêtrzne organy p³ciowe (wulg.),prostytutka
feile;pilnik
fein;drobny,cienki,dok³adny,o du¿ej czu³oœci,fajny
feld;pole,pole
feld-beifuß;bylica polna
feldkanone;armata polowa
fell;sierœæ,futro
feminismus;feminizm
feminist;feminista
feministin;feministka
feministisch;feministyczny
fenster;okno
ferkel;prosiê,brudas,œwintuch
fermium;ferm (pierwiastek chemiczny)
fern;paproæ
fernsehen;telewizja,ogl¹daæ telewizjê
fernseher;telewizor
fernstraßenbauprivatfinanzierungsgesetz;ustawa o prywatnym finansowaniu budowy dróg dalekobie¿nych
fertig;gotowy,skoñczony
fest;œwiêto,uroczystoœæ,krzepki,silny,mocny,imponuj¹cy
feststellen;unieruchomiæ,zbadaæ,ustaliæ,stwierdziæ,skonstatowaæ
festverzinslich;o sta³ym oprocentowaniu
fett;t³uszcz
feuer;ogieñ,ognisko,po¿ar,zapa³,entuzjazm
feuerfest;ogniotrwa³y
feuerversicherung;ubezpieczenie od ognia
feuerzeug;zapalniczka
feuilleton;felieton
feurig;ognisty,p³omienny
fiaker;doro¿ka
ficken;pieprzyæ,pierdoliæ
fieber;gor¹czka
film;film
finden;znajdowaæ,znaleŸæ,uwa¿aæ,s¹dziæ coœ o czymœ
finder;znalazca
finger;palec
fingerschwamm;nadecznik stawowy
finte;finta (zmy³ka),finta (podstêpny manwer),parposz (ichtiol.)
firma;firma
firnis;pokost
fisch;ryba
fische;ryby (gwiazdozbiór),ryby (znak zodiaku)
fischen;³owiæ ryby,wy³awiaæ
fischer;rybak
fischerei;rybo³ówstwo
fischereigenossenschaft;spó³dzielnia rybacka
fischfang;rybo³ówstwo
fistel;przetoka
fitneß;dobra kondycja,forma
fjord;fiord
fläche;powierzchnia
flächendeckend;pokrywaj¹cy równomiernie ca³y obszar,na ca³ej powierzchni
flagge;flaga
flamingo;flaming
flamme;p³omieñ
flasche;butelka
flavour;zapach
flechten;splataæ
fledermaus;nietoperz
fleisch;miêso,mi¹¿sz,cia³o (miêkka tkanka)
flexibel;elastyczny
flexion;odmiana
fliege;mucha
fliegen;lataæ,lecieæ,fruwaæ
fliehen;uciekaæ
fließen;p³yn¹æ,ciec,laæ siê
floh;pch³a
flöte;flet
flucht;ucieczka
flüsse;rzeka
flüssig;p³ynny,w p³ynie,p³ynny (o mowie),p³ynny (o ruchu ulicznym)
flüssigkeit;p³ynnoœæ,p³yn,ciecz,p³yn (picie),p³ynnoœæ (ekon.)
flug;lot,przelot
flugabwehrkanone;dzia³o przeciwlotnicze
flughafen;lotnisko,port lotniczy,lotniskowy
flugzeug;samolot
fluor;fluor (pierwiastek chemiczny)
fluß;przyp³yw,powódŸ,potop,nap³yw,potok,powódŸ (du¿a iloœæ)
fluss;rzeka
flusspferd;hipopotam
flussschifffahrt;¿egluga rzeczna
flut;przyp³yw,powódŸ,potop,nap³yw,potok,powódŸ (du¿a iloœæ)
folter;kaŸñ,mêka,tortury
foltern;katowaæ
fonds;fundusz
förderungswürdig;godny poparcia
forelle;pstr¹g
form;forma,kszta³t,postaæ
formal;formalny
formatieren;formatowaæ
förmchen;foremka (do zabawy),foremka
formular;formularz
forschung;badanie,dociekanie
forschungsauftrag;zlecenie na przeprowadzenie badañ
forschungsinstitut;instytut naukowo-badawczy
forst;las
fortsetzen;kontynuowaæ
fossil;skamienia³oœæ,wapniak
foto;zdjêcie,fotografia
fotograf;fotograf
fotografieren;fotografowaæ
frage;pytanie,zagadnienie,problem
fragen;pytaæ,
fragment;fragment
fraktal;fraktal
francium;frans (pierwiastek chemiczny)
frank und frei;szczerze i otwarcie,bez ogródek
frankreich;francja
frau;pani,kobieta,¿ona
freak;dziwol¹g,pasjonat
frei;wolny,uwolniony
freienwalde;chociwel
freiheit;wolnoœæ,swoboda
freiraum;wolna przestrzeñ,przestrzeñ
freitag;pi¹tek
freitod;samobójstwo
freizeit;czas wolny
frequenz;czêstotliwoœæ
fressen;z¿eraæ
freude;radoœæ
freund;przzyjaciel,przyjaciel,kolega,ch³opak,sympatia
freundlich;przyjazny,mi³y,¿yczliwy
freundlichkeit;uprzejmoœæ
freundschaft;przyjaŸñ
friedenspflicht;obowi¹zek zachowania pokoju spo³ecznego
friedrich;fryderyk
frieren;marzn¹æ
frisch;œwie¿y
frisur;fryzura
frontal;frontalny,przedni
frosch;¿aba
frost;mróz
frucht;owoc
fruchtbarer halbmond;¿yzny pó³ksiê¿yc
fruchtbarkeitsgöttin;bogini p³odnoœci
früh;rano,ranek,wczesny,wczeœnie
frühjahr;wiosna
frühling;wiosna
frühstart;falstart
frühstück;œniadanie
fuchs;lis (ssak),futro z lisa,kasztan (maœæ konia),cwaniak
fühlen;odczuwaæ
führen;prowadziæ,przewodziæ
führer;przewodnik (osoba lub publikacja),przewodnicz¹cy,prezes,kierowca
fünf;piêæ,5,godzina pi¹ta
fünfeinhalb;piêæ i pó³
fünfte;pi¹ty
fünfzehn;piêtnaœcie
fünfzehnte;piêtnsaty
fünfzig;piêædziesi¹t
für;dla,za,do,na
fürsprecher;orêdownik,adwokat,obroñca
füttern;karmiæ
funk;radio
funktion;funkcja matematyczna,podprogram,pozycja,rola,zakres obowi¹zków (np. w firmie)
funktionieren;funkcjonowaæ,dzia³aæ
furcht;strach,lêk
furie;furia
fuss;stopa
fuß;stopa
fußball;pi³ka no¿na,futbol
fussball;pi³ka no¿na,futbol
fußgänger;pieszy
fußgängerzone;strefa piesza,chodnik,deptak
gabel;widelec
gadolinium;gadolin (pierwiastek chemiczny)
gallium;gal (pierwiastek chemiczny)
galoppieren;galopowaæ
gans;gêœ
ganz egal;wszystko jedno,obojêtnie
ganz gewiss;z ca³¹ pewnoœci¹
ganz;ca³y,dosyæ,stosunkowo
ga-pa;garmisch-partenkirchen
garn;sieæ,przêdza,niæ
garten;ogród
gast;goœæ
gasthaus;gospoda,goœciniec
gasthof;zajazd,gospoda
gaumen;podniebienie
gazastreifen;strefa gazy
gdingen;gdynia
gebäck;pieczony
gebären;rodziæ
gebäude;budowla,budynek
geben;daæ,dawaæ,podawaæ,oddawaæ,rozdawaæ (karty)
gebiet;obszar,rejon,dziedzina (wiedzy),dziedzina
gebildet;wykszta³cony
gebirgpass;prze³êcz
gebiss;uzêbienie,sztuczne uzêbienie,proteza
geboren;urodzony
gebot;nakaz
gebrauch;u¿ycie,u¿ytek
gebrochen;z³amany
gebühr;op³ata
gebürtig;rodem
geburt;urodzenie,narodziny,rodzenie,poród
geburtstag;urodziny
geburtstagsgeschenk;prezent urodzinowy
gedächtnis;pamiêæ (zdolnoœæ do pamiêtania),pamiêæ
gedanke;myœl,myœl,idea
gedankenaustausch;wymiana pogl¹dów
gefährlich;niebezpieczny
gefallen;podobaæ siê
geflügel;drób
gefühl;uczucie
gegen;oko³o,przeciw (s³u¿¹cy do wyra¿enia sprzeciwu)
gegend;okolica
gegendarstellung;sprostowanie
gegensatz;przeciwieñstwo
gegenseitigkeit;wzajemnoœæ
gegenspieler;przeciwnik
gegenüber;naprzeciw,wobec,naprzeciw
gegenwärtig;obecny,teraŸniejszy,zachowany w pamiêci,obecnie
gegner;przeciwnik
gehalt;pensja,pobory,uposa¿enie,pojemnoœæ,zawartoœæ,treœæ
gehäuse;obudowa
gehege;ogrodzenie
geheim;tajny,potajemny,tajnie,potajemnie,sekretny,utajony
geheimdienst;tajna s³u¿ba,wywiad
geheimfach;skrytka
geheimlehre;tajemna wiedza,ezoteryka
geheimnis;tajemnica,odkryæ tajemnicê
gehen aus;wyjœæ z
gehen;iœæ,chodziæ,chodzenie,pójœæ
gehirn;mózg
gehorsam;pos³uszeñstwo,subordynacja,pos³uszny
geier;sêp
geige;skrzypce
geiger;skrzypek
geist;duch
geiz;sk¹pstwo
geizen;sk¹piæ
geizhals;sknera,sk¹piec
geizig;sk¹py
gejammer;biadolenie
gekicher;chichot
geklapper;stukotanie
gekocht;gotowany
gelangweilt;znudzony
gelb;¿ó³ty,¿ó³æ,kolor ¿ó³ty,¿ó³te œwiat³o (w sygnalizacji œwietlnej)
geld;pieni¹dze,pieni¹dz
geldausgabeautomat;bankomat (przest.)
geldautomat;bankomat
geldstrafe;mandat
gelegenheit;okazja
gelenk;pregub,staw
geloben;œlubowaæ,uroczyœcie przyrzekaæ
gelten;obowi¹zywaæ,byæ wa¿nym,byæ wartym,byæ uwa¿anym za...,mieæ opiniê...,byæ przeznaczonym dla...,skierowanym ku...,w wyra¿eniu: es gilt,zu... › przyszed³ czas na...,przysz³a pora na...,teraz nale¿y,trzeba
gemäß;zgodnie z,odpowiedni,stosowny
gemein;zwyk³y,pospolity
gemeinde;gmina
gemüse;warzywo,jarzyna
gemüsekürbis;cukinia
gemüsesuppe;zupa jarzzynowa
genau!;w³aœnie tak!
genau;dok³adny,œcis³y,punktualny
genehmigung;zezwolenie,pozwolenie
genick;kark
genitiv;dope³niacz
genug;dosyæ
genus;rodzaj
geoffnet;otwarty
geographische breite;szerokoœæ geograficzna
geologe;geolog
geologie;geologia
geometrie;geometria
geophysik;geofizyka
georg;jerzy
gerade auf;prosto
gerade;prosty,parzysty,prosta
geradeaus;prosto,przed siebie
gerät;urz¹dzenie
gerbstoff;garbnik
gerecht;s³usznie,sprawiedliwie,potrawa,s¹d
gerechtigkeit;sprawiedliwoœæ
gereiztheit;rozdra¿nienie,dra¿liwoœæ
gericht;danie,potrawa,s¹d
gerichtlich;s¹dowy,s¹downie
gerichts;w z³o¿eniach s¹dowy
gerichtsbeschluss;postanowienie s¹du
gerichtsgebäude;gmach s¹du
gerichtskosten;koszty s¹dowe
gerichtssaal;sala s¹dowa
gerichtsstand;w³aœciwoœæ miejscowa s¹du
gerichtsurteil;wyrok s¹dowy
gerichtsverhandlung;rozprawa s¹dowa
gerichtsvollzieher;komornik
geringschätzung;lekcewa¿enie
gerinnungsfähig;krzepliwy
germanisch;germañski
germanistik;germanistyka
germanium;german (pierwiastek chemiczny)
gern;chêtnie,z upodobaniem
gerne;s³owo wyra¿aj¹ce chêæ,przyjemnoœæ lub przyzwolenie chêtnie,z przyjemnoœci¹
gernegroß;wa¿niak
gerste;jêczmieñ
gersten;jêczmienny
geruchsbelästigung;wydzielanie przykrego zapachu
gerücht;pog³oska
gesäßtasche;tylna kieszeñ spodni
gesättigt;nasycony
geschäft;interes,biznes,sklep,transakcja,operacja handlowa
geschäftsabschluss;zawarcie transakcji handlowej,ubicie interesu
geschäftsaufgabe;zlikwidowanie przedsiêbiorstwa
geschäftsführung;zarz¹d,kierownictwo firmy,przedsiêbiorstwa
geschehen;wydarzyæ siê,staæ siê,mieæ miejsce
geschenk;prezent
geschichte;historia,dzieje,opowieœæ,historia
geschlecht;p³eæ,rodzaj
geschlossen;zamkniêty
geschwindigkeit;prêdkoœæ,szybkoœæ
geschwindigkeitsbeschränkung;ograniczenie prêdkoœci
geschwindigkeitsüberschreitung;przekroczenie dozwolonej prêdkoœci
geschwulst;guz,nowotwór
geselle;czeladnik,ch³opak (przest.),wyrostek
gesellschaft bürgerlichen rechts;spó³ka cywilna
gesellschaft mit beschränkter haftung;spó³ka z ograniczon¹ odpowiedzialnoœci¹,sp. z o.o.
gesellschaft;spo³eczeñstwo,spo³ecznoœæ,spó³ka,towarzystwo,grupa osób,kr¹g,przyjêcie,impreza
gesellschaftlich;spo³eczny
gesicht;twarz
gesittet;dobrze wychowany,grzeczny
gespann;zaprzêg,zaprz¹g
gespenst;widmo,zjawa
gespräch;rozmowa
gestalt;postaæ (osoba),postaæ (kszta³t),postura
gestank;smród,fetor
gestatten;pozwalaæ
gesteck;kompozycja
gestrig;wczorajszy
gestüt;stadnina
gesund;zdrowy (nie chory),zdrowy (dobry dla zdrowia)
gesundung;uzdrowienie
getränk;napój
getreu;wierny
gewagt;ryzykowny,œmia³y,ryzykownie,œmia³o
gewehr;karabin,broñ
gewehrgranate;granat karabinowy,granat nasadkowy
gewellt;falisty
gewicht;waga,masa,ciê¿ar,odwa¿nik
gewinde;gwint
gewinnen;wygraæ,wygrywaæ,wydobywaæ,uzyskiwaæ,zwyciê¿yæ
gewirr;pl¹tanina
gewiss;pewny,niejaki
gewissensbisse;wyrzuty sumienia
gewißheit;pewnoœæ
gewitter;burza
gezerre;pejor. pejoratywnie przepychanka
gier;¿¹dza,pazernoœæ
gift;trucizna,jad
gigantisch;gigantyczny
gipfel;szczyt (góry),szczyt (np. g³upoty),apogeum,szczyt,spotkanie na szczycie
gipfeltreffen;spotkanie na szczycie
gips;gips
giraffe;¿yrafa
gladiator;gladiator
glanz;po³ysk,blask,splendor,œwietnoœæ
glänzen;b³yszczeæ,lœniæ
glas;szklanka,szk³o,lampka,kufel,kieliszek,lampka (wina),s³oik
glasartig;szklisty
glasdach;szklany dach
glaser;szklarz,w za³o¿eniu szklarski
glaserei;szklarstwo,warsztat szklarski
glasfiber;w³ókno szklane
glasklar;kryszta³owo przezroczysty
glaskugel;bombka
glasschwamm;g¹bka szkilsta
glatze;³ysina
glatzer neiße;nysa k³odzka
glauben;przypuszczaæ,wierzyæ,wierzyæ (wyznawaæ wiarê),ufaæ,byæ zdania,uwa¿aæ
gleichberechtigung;równouprawnienie
gleichrichter;prostownik
glitschig;œliski
glogau;g³ogów
glücklich;szczêœliwy,radosny,pomyœlny,szczêœliwie
glühend;roz¿arzony,¿arliwy
gnade;³aska
gnadenlos;bezlitosny
gnädig;³askawy
gnesen;gniezno
gold;z³oto (pierwiastek chemiczny)
golden;z³oty,z³oty (kolor)
golf;zatoka,golf
gondel;gondola
gosse;rynsztok
gotik;gotyk
göttlich;boski,bo¿y
grab;grób,mogi³a
graben;kopaæ,ryæ
grablicht;znicz
gradnetz;siatka geograficzna
grafik;grafika
grafikkarte;karta graficzna (inform.)
gräfin;hrabina
grämen;trapiæ
grammatik;gramatyka
granatapfel;granat
grapefruit;grejpfrut
gras;trawa
gräte;oœæ
grau;szary,siny
graublau;szaroniebieski,szaroniebiesko
graubünden;gryzonia
grausam;okrutny,okropnie
grauzone;szara strefa
grenze;granica
grieche;grek
griff;chwyt,rêkojeœæ,r¹czka,ga³ka
groll;skrywana niechêæ,wrogoœæ
grönland;grenlandia
groschen;grosz
groß;du¿y,wysoki
gross;wielki,du¿y
großbritannien;wielka brytania
größe;wielkoœæ
großeltern;dziadkowie
großes gewicht auf etwas legen;przywi¹zywaæ do czegoœ du¿¹ wagê
grossist;hurtownik
großkreis;ko³o wielkie
großmutter;babcia
grossmutter;babcia
großpolen;wielkopolska
großpolnisch;wielkopolski
großstadt;miasto z ponad stoma tysi¹cami mieszkañców
großvater;dziadek
grotte;grota,jaskinia
grün;zieleñ,kolor zielony,zielone œwiat³o (w sygnalizacji œwietlnej),zielony
grüne;zielony
grützbeutel;kaszak
grütze;kasza
gruft;grobowiec,krypta
grufti;staruszek (slang),dziadek,ktoœ stary
grund;dno
grundbegriff;pojêcie pierwotne
grundieren;gruntowaæ
grundschule;szko³a podstawowa
grunzen;chrz¹kaæ
gruppe;grupa
gruß;pozdrowienie
gürke;ogórek
gürtel;pas,pasek
güte;dobroæ,jakoœæ
güterstand;stan maj¹tkowy
gütlich;polubowny,ugodowy
gurke;ogórek
gurkenkürbis;cukinia
gut;gobry,koœlawe i pe³ne sêków drzewo
gute nacht;dobranoc (dos³. dobrej nocy)
guten abend;dobry wieczór
guten appetit;smacznego
guten morgen;dzieñ dobry
guten tag;dzieñ dobry (po po³udniu),dzieñ dobry
gutsverwalter;rz¹dca maj¹tku
gutwillig;dobrowolny,chêtny
gymi;liceum
gymnasiast;uczeñ gimnazjum lub liceum
gymnasiastin;uczennica gimnazjum lub liceum
gymnasium;liceum
gymnastik;gimnastyka
gymnastisch;gimnastyczny
gynäkologisch;ginekologiczny
haaransatz;nasada w³osów
haarausfall;wypadanie w³osów,³ysienie
haardecke;sierœæ
haarentfernungsmittel;depilator
haarfarbe;kolor w³osów
haarfestiger;utrwalacz w³osów
haarklemme;wsuwka do w³osów
habeich zu zahken?;ile siê nale¿y?
haben;mieæ,posiadaæ,mieæ w sprzeda¿y,odczuwaæ
habgier;chciwoœæ
habgierig;chciwy
hacke;motyka
hafenstadt;miasto portowe
haff;zalew
hafnium;hafn (pierwiastek chemiczny)
haftpflichtversicherung;ubezpieczenie odpowiedzialnoœci cywilnej
hahaha;cha cha cha
hahn;kogut,kran
hähnchen;kurczak
hai;rekin
haifisch;rekin
haiku;haiku
haiti;haiti
hakenrüssler;ryjkog³ów
hakensaugwurm;skrzelowiec
halb;pó³,po³owicznie
halber;ze wzglêdu na
halbgerade;pó³prosta
halbzeug;pó³produkt,pó³fabrykat,pó³wyrób
hallo;czeœæ (powitanie),halo (np. przez telefon)
hals;szyja,gard³o
halt;zatrzymaæ
haltbar;trwa³y,nie psuj¹cy siê
halten;trzymaæ,zatrzymywaæ,dotrzymywaæ (s³owa),wyg³aszaæ (mowê),uwa¿aæ za...,mieæ za...,hodowaæ,trzymaæ siê,nie psuæ siê
haltestelle;przystanek
hältnis - wskaŸnik c;z (wskaŸnik cena,zysk
haltung;poza,postawa
haltungsfehler;wada postawy
halunke;³ajdak,³otr
hamburg;hamburg
hamburger;mieszkaniec hamburga,hamburger,hamburski
hämisch;z³oœliwy
hammel;baran,barani
hammelfleisch;baranina
hammer;m³otek
hamster;chomik
hand;rêka,d³oñ
händedruck;uœcisk d³oni
handeln;czyniæ,postêpowaæ,handlowaæ (sprzedawaæ),opowiadaæ o,traktowaæ o,krêciæ siê wokó³ jakiegoœ tematu,dotyczyæ,chodziæ o
handelsgesellschaft;spó³ka handlowa
handelskorrespondenz;korespondencja handlowa
handfläche;d³oñ
handgearbeitet;rêcznej roboty
handgelenk;nadgarstek
handhaben;pos³ugiwaæ siê,stosowaæ,u¿ywaæ
händler;handlarz,dealer
handtuch;rêcznik
handy;komórka,telefon komórkowy
hans;jan
hartmond;styczeñ (przest.)
hartung;styczeñ (przest.)
hase;zaj¹c
hasel;leszczyna
haselnuss;orzech laskowy
haselnuß;orzech laskowy
häsling;leszczyna
haß;nienawiœæ
hass;nienawiœæ
hassen;nienawidzieæ,nienawidziæ,nie cierpieæ
hassium;has (pierwiastek chemiczny)
häufig;czêsty,czêsto
haupt;g³ówny
hauptbahnhof;dworzec g³ówny
haupthaus;g³ówny budynek
hauptmann;kapitan
hauptnenner;wspólny mianownik
hauptsache;g³ówna rzecz,najwa¿niejsza rzecz
hauptsächlich;zasadniczy,g³ówny,zasadniczo,g³ównie,przewa¿nie
hauptstadt;stolica
haus;dom,firma,ród
hausen;mieszkaæ
hausfrau;pani domu,gospodyni
hausierer;domokr¹¿ca
haut;skóra,skórka
hauteng;opiêty
havarie;awaria
hbf;dworzec g³ówny
hebamme;akuszerka
heben;wysoki,wysoko postawiony,wysokiej klasy,podnios³y,literacki
hecht;szczupak
heck;rufa,ogon samolotu,ty³ pojazdu
hecke;¿ywop³ot,gniazdo,miot (zwierz¹t)
heckenrose;dzika ró¿a,kwiat dzikiej ró¿y
heckklappe;pokrywa tylna,klapa baga¿nika
hedoniker;hedonista
hedonismus;hedonizm
hedonist;hedonista
heer;wojska l¹dowe,armia,chmara,mnóstwo
hefe;dro¿d¿e,dro¿d¿owy
hefeteig;ciasto dro¿d¿owe
heft;zesyt,zeszyt,iloœæ papieru (ok. 10 arkuszy)
heften;przypinaæ,fastrygowaæ,przypi¹æ
hefter;segregator,zszywacz
heftig;silny,gwa³towny,energicznie,mocno
heftigkeit;gwa³townoœæ,przenikliwoœæ,moc,si³a
heftklammer;spinacz
heftpflaster;przylepiec
heftzwecke;pinezka
hegemonie;hegemonia
hegen;chroniæ,pielêgnowaæ,odczuwaæ
hehl;tajemnica,sekret
hehler;paser
hehlerai;paserstwo
hehlern;paserka
heide;poganin,wrzosowisko,step,pustkowie
heidekraut;wrzos
heidelbeere;czarna jagoda,borówka czernica
heil;szczêœcie,zbawienie,ca³y,zdrowy
heilig;œwiêty
heiliger bimbam!;dobry Bo¿e!
heim;dom rodzinny,mieszkanie
heimat;ojczyzna
heimwerker;majsterkowicz
heinrich;henryk
heiraten;¿eniæ siê,wychodziæ za m¹¿
heischen;rzad. rzadko prosiæ siê o coœ,koniecznie chcieæ coœ dostaæ,wymagaæ,¿¹daæ,rzad. rzadko natrêtnie ¿ebraæ
heiß;gor¹cy
heiss;gor¹cy
heißen;nazywaæ siê,nosiæ dane imiê,nazwisko lub nazwê,byæ znanym pod tym imieniem,znaczyæ,mówi siê (ktoœ coœ powiedzia³),pisze siê,jest napisane (ktoœ coœ napisa³),podobno,ponoæ,powiadaj¹
heissen;nazywaæ,nazwaæ
heiter;weso³y,radosny,s³oneczny,pogodny
heizwert;wartoœæ opa³owa
hektisch;gor¹czkowy
hela;hel
helb;pó³,po³owa
helbpart;po³owa
held;bohater,zuch
helium;hel (pierwiastek chemiczny)
hell;piek³o,miejsce gdzie id¹ stracone dusze,podziemny œwiat,ciê¿ka,dramatyczna sytuacja,ostra reprymenda,zruganie kogoœ
hellblau;jasnoniebieski
helle;jasny
helm;he³m,kask
helote;helota
hemd;koszula,koszulka
hemmer;m³otek
hengst;ogier
henkel;ucho,uszko
henne;kura
henotheismus;henoteizm
her;tu (kierunek)
heraus;z,od
herbst;jesieñ
herde;stado,trzoda
herein!;proszê do œrodka
herein;do wnêtrza
hering;œledŸ
herkunft;przyjœcie,przybycie,pochodzenie (np. kraj),pochodzenie s³owa,etymologia
herpes;opryszczka
herr;pan,pan (zwrot grzecznoœciowy),pan (magnat),pan bóg w judaizmie i chrzeœcijañstwie
herrin;pani
herrschen;panowaæ
herum;naoko³o,dooko³a
herunterladen;œci¹gaæ (inform.),pobieraæ (inform.)
hervorragen;wystawaæ,byæ widocznym,wyró¿niaæ siê,wybijaæ siê,odznaczaæ siê
